Portugal ,Year,District,District_Name,Party.A.Votes,Party.A.Seats,Party.B.Votes,Party.B.Seats,Party.C.Votes,Party.C.Seats,Party.D.Votes,Party.D.Seats,Party.E.Votes,Party.E.Seats,Others.Votes,Others.Seats,Blank.Votes,Blank.Seats
Portugal ,2002,19,Acores (Azores),1269,0,1257,0,7521,0,40734,3,36788,2,816,0,1423,0
Portugal ,2002,1,Aveiro,6674,0,9650,0,47291,2,170774,8,123536,5,2470,0,6739,0
Portugal ,2002,2,Beja,1562,0,19950,1,3104,0,17443,0,35812,2,789,0,1697,0
Portugal ,2002,3,Braga,7635,0,19837,0,42028,1,201458,9,169611,8,6096,0,6587,0
Portugal ,2002,4,Braganca,789,0,1570,0,9216,0,45054,3,25190,1,1236,0,1698,0
Portugal ,2002,5,Castelo Branco,1709,0,3936,0,8570,0,45859,2,55149,3,2131,0,2358,0
Portugal ,2002,6,Coimbra,5723,0,11766,0,15717,0,95933,5,96795,5,3386,0,4946,0
Portugal ,2002,7,Evora,1611,0,19823,1,4171,0,23032,1,38907,1,1958,0,4946,0
Portugal ,2002,8,Faro,5154,0,11550,0,15479,0,70102,4,75191,4,3713,0,4577,0
Portugal ,2002,9,Guarda,1243,0,2238,0,9630,0,48953,2,34979,2,1671,0,2128,0
Portugal ,2002,10,Leiria,5297,0,9810,0,23482,1,121350,6,70384,3,3255,0,5376,0
Portugal ,2002,11,Lisboa,53038,2,100045,4,96483,4,406323,18,440729,20,21374,0,22183,0
Portugal ,2002,98,Madeira,3934,0,3105,0,15199,0,67058,4,32124,1,877,0,2992,0
Portugal ,2002,99,Portalegre,1062,0,8428,0,4377,0,20784,1,30435,2,1250,0,1252,0
Portugal ,2002,13,Porto,25198,1,43317,1,78816,3,374768,16,386523,17,10644,0,18046,0
Portugal ,2002,14,Santarem,6763,0,20727,1,20392,1,92551,4,93168,4,4049,0,5108,0
Portugal ,2002,15,Setubal,18228,0,80995,4,27110,1,97597,5,154938,7,7712,0,7806,0
Portugal ,2002,16,Viana do Castelo,2488,0,4859,0,14302,0,63385,3,49120,3,2396,0,2727,0
Portugal ,2002,17,Vila Real,1113,0,2513,0,10303,0,69083,3,40630,2,1487,0,2491,0
Portugal ,2002,18,Viseu,3017,0,3200,0,22283,1,109261,5,65410,3,2438,3,3815,0
